date,actual_kwh,actual_cost_gbp,actual_avg_ppkwh,actual_peak_kwh,actual_starts,same_kwh_baseline_cost_gbp,same_kwh_saving_gbp,same_kwh_peak_kwh,same_kwh_expected_starts,uniform_same_kwh_baseline_cost_gbp,uniform_same_kwh_saving_gbp,uniform_same_kwh_peak_kwh,thermostat_baseline_kwh,thermostat_baseline_cost_gbp,thermostat_saving_gbp,thermostat_peak_kwh,thermostat_expected_starts,uniform_thermostat_baseline_cost_gbp,uniform_thermostat_saving_gbp,uniform_thermostat_peak_kwh
2025-12-18,5.4422,0.9479900289583147,17.419242750327346,0.0,1.0,0.7282094659833394,-0.21978056297497545,0.0,38.69373418602006,0.7993129208749999,-0.1486771080833148,0.680275,10.26731093179258,1.3738475268688353,0.4258574979105205,0.0,73,1.5079920418990376,0.5600020129407227,1.2834138664740724
2025-12-19,6.8258,0.4029756836457764,5.903713610796924,0.0,5.0,0.8848375048167404,0.48186182117096393,0.0,48.53105192880375,0.9584937674374998,0.5555180837917234,0.853225,10.26731093179258,1.3309651302506647,0.9279894466048881,0.0,73,1.4417582607849775,1.038782577139201,1.2834138664740724
2025-12-20,13.7424,2.072293729024211,15.079562005357221,0.0,9.0,2.298799373192308,0.22650564416809715,0.0,97.70768672190697,2.5682441294999996,0.49595040047578864,1.7178,10.26731093179258,1.7174938827552184,-0.35479984626899236,0.0,73,1.9188031949533901,-0.15349053407082067,1.2834138664740724
2025-12-21,2.0818000000000008,0.33091662997424015,15.89569747210299,0.0,2.0,0.35318157476532813,0.02226494479108794,0.0,14.801480252187828,0.38513560225000026,0.054218972275760106,0.2602250000000001,10.26731093179258,1.7418700372253668,1.4109534072511267,0.0,73,1.899465356520292,1.5685487265460518,1.2834138664740724
2025-12-22,1.792699999999999,0.2497324877592566,13.930523108119415,0.0,1.0,0.2941085978669333,0.04437611010767664,0.0,12.74599560385104,0.32247927928124986,0.07274679152199326,0.22408749999999988,10.26731093179258,1.684444927770041,1.4347124400107845,0.0,73,1.8469320184308418,1.5971995306715852,1.2834138664740724
2025-12-23,1.828900000000002,0.289363807797752,15.821740269984783,0.0,5.0,0.30714750202238816,0.017783694224636156,0.0,13.00337555635812,0.33188362462500043,0.042519816827248424,0.22861250000000022,10.26731093179258,1.7243036279661252,1.4349398201683732,0.0,73,1.8631704123764046,1.5738066045786527,1.2834138664740724
2025-12-24,2.0505,0.28931325552933196,14.109400415963519,0.0,3.0,0.32198159738368143,0.03266834185434945,0.0,14.578939022533927,0.3547377815624999,0.06542452603316797,0.2563125,10.26731093179258,1.6122336867366536,1.3229204312073215,0.0,73,1.7762512082694486,1.4869379527401165,1.2834138664740724
2025-12-25,1.9162000000000003,0.2690922014854025,14.043012289187063,0.0,1.0,0.30916295525828236,0.04007075377287982,0.0,13.624073618619613,0.3269642000625001,0.05787199857709755,0.23952500000000004,10.26731093179258,1.6565453450728846,1.3874531435874824,0.0,73,1.7519273069650987,1.4828351054796962,1.2834138664740724
2025-12-26,1.9810999999999983,0.31265703031735376,15.781991333973753,0.0,2.0,0.338100154094744,0.025443123777390185,0.0,14.085508947838058,0.3725557604999997,0.059898730182645965,0.2476374999999998,10.26731093179258,1.7522484519598822,1.4395914216425285,0.0,73,1.9308191572782536,1.6181621269609,1.2834138664740724
2025-12-27,2.2209000000000008,0.3472870695085061,15.637222275136475,0.0,2.0,0.3699160843870794,0.022629014878573342,0.0,15.790473384611367,0.40875595096875,0.06146888146024395,0.2776125000000001,10.26731093179258,1.7101370872499282,1.3628500177414222,0.0,73,1.889695368461758,1.542408298953252,1.2834138664740724
2025-12-28,2.041,0.33452764943810465,16.39037968829518,0.0,2.0,0.36260185582633153,0.028074206388226913,0.0,14.511394559859422,0.3965624731250001,0.06203482368689542,0.255125,10.26731093179258,1.8240793719813675,1.4895517225432626,0.0,73,1.9949192628393004,1.6603916134011956,1.2834138664740724
